ms,ms_name_en,cci,programme_title_short,status,version,last_adoption_date_ecms,priority_code,priority_name,policy_objective_short_name,policy_objective_code,policy_objective_name,specific_objective_short_name,specific_objective_code,specific_objective_name,dimension_type,category_title_short,category_code,category_name,fund,category_of_region,cofinancing_rate,eu_amount,total_amount,climate_weighting,eu_climate_amount,total_climate_amount,environmental_weighting,eu_environmental_amount,total_environmental_amount,biodiversity_weighting,eu_biodiversity_amount,total_biodiversity_amount,gender_weighting,eu_gender_amount,total_gender_amount,clean_air_weighting,eu_clean_air_amount,total_clean_air_amount,digital_weighting,eu_amount_digital,total_amount_digital,sustainable_urban_development,territorial_tool,territory_type,un_sdg_tracking,jtf_themes,priority_type_code,priority_type_description
HU,Hungary,2021HU16FFPR003,Integrated Transport Development Plus - HU - CF/ERDF,Adopted by EC,1.2,2022-12-22,2,TEN-T vasuti es regionalis intermodalis kozlekedes fejlesztese,PO3 Connected Europe,3,Connected Europe,RSO3.1 Sustainable TEN-T,RSO3.1,Sustainable TEN-T,Territorial delivery mechanism / territorial focus,33 Other approaches: No territorial targeting,33,Other  approaches - No territorial targeting,ERDF,Less developed,0.8499999992,593716434.0,698489923.01,,,,,,,,,,,,,,,,,,,Non-SUD,Other approaches,No territorial targeting,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.002 Border surveillance - air equipment,SO1.002,Border surveillance - air equipment,BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.025 Large-scale IT systems - Interoperability,SO1.025,Large-scale IT systems - Interoperability,BMVI,BMVI,0.9015722379,8183681.19,9077121.99,,,,,,,,,,,,,,,,1.0,8183681.19,9077121.99,,,,,,,
TC,Interreg,2021TC16IPCB001,Interreg VI-A - Hungary-Serbia,Adopted by EC,1.1,2022-11-04,3,Priority 3: Cross-border institutional and civil cooperation,PO7 Interreg: Safer and more secure Europe,7,Interreg: Safer and more secure Europe,ISO7.2 Mobility and migration management,ISO7.2,Mobility and migration management,Form of Support,01 grant,01,Grant,Interreg Funds,Interreg Funds,0.8499999532,5727272.0,6737967.42,,,,,,,,,,,,,,,,,,,,,,,,,
TC,Interreg,2021TC16RFCB025,Interreg VI-A - Oresund-Kattegat-Skagerrak,Adopted by EC,1.3,2022-07-11,2,"Hallbar, cirkular och klimatsmart region",PO2 Greener Europe,2,Greener Europe,RSO2.6 Circular economy,RSO2.6,Circular economy,Territorial delivery mechanism / territorial focus,33 Other approaches: No territorial targeting,33,Other  approaches - No territorial targeting,Interreg Funds,Interreg Funds,0.6,16176870.0,26961450.0,,,,,,,,,,,,,,,,,,,Non-SUD,Other approaches,No territorial targeting,,,,
TC,Interreg,2021TC16IPCB001,Interreg VI-A - Hungary-Serbia,Adopted by EC,1.1,2022-11-04,3,Priority 3: Cross-border institutional and civil cooperation,PO6 Interreg: Cooperation Governance,6,Interreg: Cooperation Governance,ISO6.6 Other actions to support better cooperation governance,ISO6.6,Other actions to support better cooperation governance,Form of Support,01 grant,01,Grant,Interreg Funds,Interreg Funds,0.8499999532,17181820.0,20213907.0,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,2 Common visa policy,2,Common visa policy,Intervention Field,SO2.007 Other ICT systems for visa application processing,SO2.007,Other ICT systems for visa application processing purposes,BMVI,BMVI,0.8742649244,1000000.0,1143818.05,,,,,,,,,,,,,,,,1.0,1000000.0,1143818.05,,,,,,,
TC,Interreg,2021TC16IPCB001,Interreg VI-A - Hungary-Serbia,Adopted by EC,1.1,2022-11-04,3,Priority 3: Cross-border institutional and civil cooperation,PO6 Interreg: Cooperation Governance,6,Interreg: Cooperation Governance,ISO6.6 Other actions to support better cooperation governance,ISO6.6,Other actions to support better cooperation governance,Territorial delivery mechanism / territorial focus,33 Other approaches: No territorial targeting,33,Other  approaches - No territorial targeting,Interreg Funds,Interreg Funds,0.8499999532,17181820.0,20213907.0,,,,,,,,,,,,,,,,,,,Non-SUD,Other approaches,No territorial targeting,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.014 European Border and Coast Guard development,SO1.014,European Border and Coast Guard development,BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,2 Common visa policy,2,Common visa policy,Intervention Field,SO2.003 Document security/document advisers,SO2.003,Document security / document advisors,BMVI,BMVI,0.8742649244,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,2 Common visa policy,2,Common visa policy,Intervention Field,SO2.004 Consular cooperation,SO2.004,Consular cooperation,BMVI,BMVI,0.8742649244,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Austria,2021AT65ISPR001,Austria - ISF,Adopted by EC,2.0,2023-06-19,,,PO1 Security,1,Security,TA.36(5) Technical assistance - flat rate (Art. 36(5) CPR),TA.36(5),Technical assistance - flat rate (Art. 36(5) CPR),Intervention Field,"TA.36(5).035 Preparation, implementation, monitoring",TA.36(5).035,"Preparation, implementation, monitoring and control",ISF,ISF,1.0,416802.32,416802.32,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Austria,2021AT65ISPR001,Austria - ISF,Adopted by EC,2.0,2023-06-19,,,PO1 Security,1,Security,1 Exchange of information,1,Exchange of information,Type of Action ISF,"SO1.010 Buildings, facilities",SO1.010,"Buildings, facilities",ISF,ISF,0.7709219792,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
AT,Austria,2021AT65ISPR001,Austria - ISF,Adopted by EC,2.0,2023-06-19,,,PO1 Security,1,Security,2 Cross-border cooperation,2,Cross-border cooperation,Type of Action ISF,SO2.008 Equipment,SO2.008,Equipment,ISF,ISF,0.8675523214,144000.0,165984.23,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,2 Common visa policy,2,Common visa policy,Intervention Field,SO2.011 Issuance of visas with limited territorial validity,SO2.011,Issuance of visas with limited territorial validity,BMVI,BMVI,0.8742649244,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,2 Common visa policy,2,Common visa policy,Intervention Field,SO2.010 Operating support - Special Transit Scheme,SO2.010,Operating support - Special Transit Scheme,BMVI,BMVI,0.8742649244,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
TC,Interreg,2021TC16IPCB001,Interreg VI-A - Hungary-Serbia,Adopted by EC,1.1,2022-11-04,3,Priority 3: Cross-border institutional and civil cooperation,PO7 Interreg: Safer and more secure Europe,7,Interreg: Safer and more secure Europe,ISO7.2 Mobility and migration management,ISO7.2,Mobility and migration management,Territorial delivery mechanism / territorial focus,33 Other approaches: No territorial targeting,33,Other  approaches - No territorial targeting,Interreg Funds,Interreg Funds,0.8499999532,5727272.0,6737967.42,,,,,,,,,,,,,,,,,,,Non-SUD,Other approaches,No territorial targeting,,,,
TC,Interreg,2021TC16RFCB006,Interreg VI-A - Spain-France-Andorra (POCTEFA),Adopted by EC,1.2,2022-11-24,P4,Construir un espacio transfronterizo inclusivo y socialmente mas integrado.,PO4 Social Europe,4,Social Europe,RSO4.3 Integration of marginalised communities,RSO4.3,Integration of marginalised communities,Territorial delivery mechanism / territorial focus,33 Other approaches: No territorial targeting,33,Other  approaches - No territorial targeting,Interreg Funds,Interreg Funds,0.6500000115,6704031.0,10313893.66,,,,,,,,,,,,,,,,,,,Non-SUD,Other approaches,No territorial targeting,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,2 Common visa policy,2,Common visa policy,Intervention Field,SO2.006 Large-scale IT systems - Visa Information System (VIS),SO2.006,Large-scale IT systems  - Visa Information System (VIS),BMVI,BMVI,0.8742649244,3062912.78,3503414.92,,,,,,,,,,,,,,,,1.0,3062912.78,3503414.92,,,,,,,
NL,Netherlands,2021NL65BVPR001,Netherlands - BMVI,Adopted by EC,2.0,2023-07-04,,,PO1 Borders and visa,1,Borders and visa,1 European integrated border management,1,European integrated border management,Intervention Field,SO1.018 Joint deployment of immigration liaison officers,SO1.018,Joint deployment of immigration liaison officers,BMVI,BMVI,0.9015722379,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
